Tool,TIME Status,Primary SysAdmin,Budget Holder(s),Description,URL,Cap1,Cap2,Cap3,Cap4,Cap5,Cap6,Cap7,Cap8,Cap9,Cap10,Cap11,Cap12,Cap13,Cap14,Cap15,Cap16,Cap17,Cap18,Cap19,Cap20,Cap21,Cap22,Cap23,Cap24,Cap25,Cap26,AMERICAS D&A,AMETA D&A,DIGITAL D&A,EUROPE D&A,ERA,GAC
CAPABILITY_NAMES,,,,This special row defines the capability names - do not delete this row,,Advanced Visualisation Techniques,AI Application Development,Business Intelligence Analysis,Computer Vision Applications,Dashboard & Report Development,Data Ingestion & Processing,Data Modelling & Schema,Data Product Design & User Experience,Data Product Development,Data Product Operations & Support,Data Transformation & Quality,Decision Support Systems,Forecasting & Planning,Governance & Compliance,LLM Development & Operations,Machine Learning Development,Model Deployment & Serving,Model Lifecycle Management,Modelling Governance,Pattern Recognition & Anomaly Detection,Process Management,SQL & Code Optimisation,Specialised ML Applications,Specialised Visualisation Applications,Data Observability,Process Automation,,,,,,
Adobe Figma,TOLERATE,████████@████████.com,"████████@████████.com, ████████@████████.com","A web-based design platform for creating user interfaces, prototypes, and wireframes. Figma enables real-time collaboration between designers and developers, allowing teams to create, share, and iterate on digital product designs. It's used for UI/UX design, design systems management, and creating interactive prototypes.",https://www.figma.com,3,1,1,0,1,0,0,3,3,1,0,1,1,1,0,0,0,0,1,0,2,0,0,3,0,0,1,0,1,0,0,0
Alteryx Connect,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A data cataloging and collaboration platform that helps organizations discover, understand, and govern their data assets. It provides metadata management, data lineage tracking, and collaborative features that enable users to find datasets, understand data relationships, and share knowledge about data sources across the enterprise.",https://www.alteryx.com/products/alteryx-connect,1,1,2,0,1,2,3,2,2,2,2,2,1,3,0,1,0,2,3,1,3,1,0,0,0,0,0,0,0,0,0,0
Alteryx Designer,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A data preparation and analytics platform that enables users to blend, clean, and analyze data from multiple sources without requiring coding skills. Designer offers a visual drag-and-drop interface for building analytics workflows, performing statistical analysis, and creating predictive models.",https://www.alteryx.com/products/alteryx-designer,2,1,2,0,2,3,3,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
Alteryx Intelligence Suite,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A machine learning and AI platform that extends Alteryx Designer with automated machine learning capabilities, computer vision, and text mining tools. It enables users to build predictive models, perform sentiment analysis, extract insights from documents and images, and deploy AI solutions.",https://www.alteryx.com/products/intelligence-suite,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,3,1,0,0,0,0,0,0,0,0
Alteryx Promote,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A model zeployment and management platform that enables data scientists to publish, manage, and monitor analytical models in production environments. It provides REST API endpoints for model serving, version control for models, and monitoring capabilities to track model performance and detect drift over time.",https://www.alteryx.com/products/alteryx-machine-learning,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,3,3,2,2,2,1,2,1,0,0,0,0,0,0,0,0
Alteryx Server,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An enterprise analytics platform that provides centralized execution, scheduling, and governance for Alteryx workflows and models. It enables organizations to scale analytics across teams, automate recurring analyses, manage user access and permissions, and integrate analytics processes with existing enterprise systems.",https://www.alteryx.com/products/alteryx-server,2,2,2,1,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,2,3,2,2,1,0,0,0,0,0,0,0,0
Apache Zeppelin Notebook,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An open-source web-based notebook platform that enables interactive data exploration, visualization, and collaboration. Zeppelin supports multiple programming languages including Python, Scala, R, and SQL, allowing data scientists and analysts to create shareable documents that combine code, visualizations, and narrative text.",https://zeppelin.apache.org,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,1,0,0,1,0,0,0,0,0
Atlassian Bitbucket,INVEST,████████@████████.com,"████████@████████.com, ████████@████████.com","A Git-based version control and code collaboration platform designed for software development teams. Bitbucket provides source code management, pull request workflows, continuous integration pipelines, and deployment capabilities, enabling development teams to collaborate on code and manage software release processes.",https://bitbucket.org,0,2,0,0,0,1,1,2,2,3,1,0,0,3,0,1,2,2,2,0,3,2,0,0,0,0,1,1,1,0,0,0
Atlassian Jira,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A project management and issue tracking platform used for agile software development and project coordination. Jira enables teams to plan, track, and release software projects using customizable workflows, sprint planning tools, reporting dashboards, and integration with development tools.",https://www.atlassian.com/software/jira,1,1,1,0,1,1,0,2,2,3,1,1,1,3,0,0,1,1,2,1,3,0,0,0,0,0,1,0,0,0,0,0
